asdf_id,map_pf_incidence_rate.2020.mean,map_pf_incidence_rate.2019.mean,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2017.mean,gpm_precipitation_v07b_yearly_mean.2020.mean,gpm_precipitation_v07b_yearly_mean.2019.mean,gpm_precipitation_v07b_yearly_mean.2018.mean,gpm_precipitation_v07b_yearly_mean.2017.mean,cru_ts_407_tmp_yearly_mean.2020.mean,cru_ts_407_tmp_yearly_mean.2019.mean,cru_ts_407_tmp_yearly_mean.2018.mean,cru_ts_407_tmp_yearly_mean.2017.mean,Level,gqid,shapeGroup,shapeID,shapeName,shapeType
19,0.197872148779,0.135423315826,0.166211839798,0.127609036409,132.843506268,137.941379774,133.834190334,134.300698728,29.4599429156,28.8854728676,29.1036030649,29.3781352189,ADM2,19,SEN,SEN-ADM2-92650715B36308528,Kedougou,ADM2
20,0.133587792803,0.091796177545,0.12360007056,0.102449448854,147.525611761,105.853189245,104.097907109,124.094821031,29.1286273112,28.3492768424,28.3871257537,28.8839351833,ADM2,20,SEN,SEN-ADM2-92650715B38039935,Kolda,ADM2
21,0.0872278868138,0.0621066491968,0.086380702115,0.0683101871342,90.3572884966,60.1033770172,70.2041038855,82.9598197914,30.1020991231,29.3654918951,29.3909043113,29.8850484877,ADM2,21,SEN,SEN-ADM2-92650715B98317151,Koumpentoum,ADM2
22,0.0876847809042,0.0594496094779,0.0751789109996,0.0518802448331,95.5777117964,58.9676116278,63.6316772879,73.3491945932,30.0205928155,29.2254485717,29.2035458818,29.7731508709,ADM2,22,SEN,SEN-ADM2-92650715B52758383,Koungheul,ADM2
23,0.124855534494,0.0851713482692,0.109956518267,0.0780473714111,77.4312661644,41.7006532384,47.9493513362,48.4166066336,29.6688974835,28.8448709957,28.7258196331,29.3954942402,ADM2,23,SEN,SEN-ADM2-92650715B19574815,Linguere,ADM2
24,0.11257517391,0.0802940142972,0.104285529383,0.0769716435377,63.060971913,32.683108428,37.0452077132,38.6543374404,28.3608356433,27.5151028074,27.3220790704,28.0945566021,ADM2,24,SEN,SEN-ADM2-92650715B53032518,Louga,ADM2
25,0.0949047605673,0.0643312502714,0.0775964569132,0.0514153172591,98.0651130857,59.2409676815,61.9118473449,68.67123498,29.9873572208,29.1455233129,29.0766667167,29.7238465037,ADM2,25,SEN,SEN-ADM2-92650715B56081143,Malem Hodar,ADM2
26,0.0928014065313,0.0704027777637,0.0958106110267,0.0757135632073,70.8857749661,34.9995297053,41.3730437394,46.0716423966,30.619205683,29.9155196941,29.8787497403,30.3927371962,ADM2,26,SEN,SEN-ADM2-92650715B53890930,Matam,ADM2
27,0.111005392137,0.0746211833665,0.0950170349645,0.0687470208715,87.431415689,52.1886305424,51.274546383,62.2145862199,29.6383499224,28.7762140583,28.6389973514,29.3549354353,ADM2,27,SEN,SEN-ADM2-92650715B42006412,Mbacke,ADM2
28,0.0989578188208,0.0784805574048,0.109434218627,0.086792815269,86.0684925251,62.1690276895,51.232207783,64.9107846678,27.8878089322,27.0078160883,26.8386532892,27.5851185396,ADM2,28,SEN,SEN-ADM2-92650715B92488482,Mbour,ADM2
29,0.122806869194,0.0864487094997,0.111585278544,0.0875752665072,125.137207914,87.4636504312,90.2393238696,108.180072114,29.3644906764,28.5558266932,28.5555381284,29.1205289937,ADM2,29,SEN,SEN-ADM2-92650715B61245008,Medina Yoroufoula,ADM2
30,0.108479089796,0.0829651104257,0.10637775288,0.0743547505769,112.724802457,80.4358252808,75.4001950166,89.6836079679,29.283719544,28.4390436764,28.3543213343,29.0239201682,ADM2,30,SEN,SEN-ADM2-92650715B93305234,Nioro Du Rip,ADM2
31,0.107787358223,0.0897238726107,0.13263600337,0.113407630892,226.807165345,127.796432947,130.827783123,149.490103774,27.9337557623,27.0848361033,26.9747013367,27.6638307355,ADM2,31,SEN,SEN-ADM2-92650715B29977767,Oussouye,ADM2
32,0.0910446724649,0.0810848107083,0.121765727113,0.101109464798,72.2801438801,62.2204993678,39.6804620379,44.9201973442,26.8916670481,26.0166668892,25.8083338737,26.6000002225,ADM2,32,SEN,SEN-ADM2-92650715B2134480,Pikine,ADM2
33,0.138554088153,0.0949912325384,0.125287375084,0.0871775188662,50.4384138933,25.4608801224,35.2693445576,30.2105684319,29.5002225036,28.708718227,28.5610181578,29.2418461625,ADM2,33,SEN,SEN-ADM2-92650715B44575293,Podor,ADM2
34,0.100606994667,0.0719939301275,0.103005077776,0.0845505549913,81.5743937346,46.198203296,59.7552642507,60.1612650255,30.3117258444,29.5816887034,29.5483573277,30.0862530248,ADM2,34,SEN,SEN-ADM2-92650715B36031487,Ranerou,ADM2
35,0.0998622635343,0.0858706730303,0.124126774455,0.101558741231,76.4910424001,57.1870841252,37.6504399153,55.0605352568,26.8916670481,26.0166668892,25.8083338737,26.6000002225,ADM2,35,SEN,SEN-ADM2-92650715B60461663,Rufisque,ADM2
36,0.0952216086019,0.0711182505276,0.099236394141,0.0802843340846,53.5040598444,30.9247088329,33.5303059604,32.5784543902,27.8045213638,26.9547006813,26.7434034267,27.5324778381,ADM2,36,SEN,SEN-ADM2-92650715B47022821,Saint Louis,ADM2
37,0.21197810696,0.149682619544,0.181790900193,0.136370499365,140.353360383,143.026811484,128.646507901,140.122813467,29.3574152665,28.7449116407,28.9658276156,29.2480315708,ADM2,37,SEN,SEN-ADM2-92650715B46334269,Salemata,ADM2
38,0.231305700316,0.174905807279,0.221732510671,0.189198398767,128.934014116,137.897113621,132.586670832,135.404767858,29.5296016854,29.0278424988,29.2368737928,29.4709201194,ADM2,38,SEN,SEN-ADM2-92650715B69628461,Saraya,ADM2
39,0.0999071158535,0.0640409144535,0.084816814789,0.0651127717899,166.407598107,110.262358417,107.96128889,125.761838465,28.7096901856,27.8789770361,27.8356985684,28.463653951,ADM2,39,SEN,SEN-ADM2-92650715B21439293,Sedhiou,ADM2
40,0.124001306356,0.0926577751164,0.129777265262,0.108301742477,111.486890622,87.9183092331,99.3072770557,100.173577109,30.004742478,29.3309881213,29.4650471114,29.8154669551,ADM2,40,SEN,SEN-ADM2-92650715B52503232,Tambacounda,ADM2
41,0.0993020401642,0.0751761042472,0.101762940324,0.078565378227,74.4501639112,54.5132231181,43.0725801364,55.4911142441,27.6102566327,26.7230771724,26.5512824096,27.3125002726,ADM2,41,SEN,SEN-ADM2-92650715B71653537,Thies,ADM2
42,0.0940508477388,0.0638936858205,0.081257123768,0.0581696714984,71.2807645873,44.8752487462,39.4974451829,47.6729999331,27.9017258583,27.0420989182,26.8583470939,27.6166803883,ADM2,42,SEN,SEN-ADM2-92650715B19031297,Tivaoune,ADM2
43,0.143379757843,0.108244543226,0.14764122333,0.123956991048,134.168928405,102.737292769,107.763795904,115.659084037,29.5647870486,28.8548240911,28.9823113175,29.3447910166,ADM2,43,SEN,SEN-ADM2-92650715B1526176,Velingara,ADM2
44,0.112048047044,0.0844801097512,0.118797427835,0.0985077586279,209.005088424,125.617544815,125.865880187,146.108371554,28.3050188681,27.4702292875,27.3834727127,28.053834699,ADM2,44,SEN,SEN-ADM2-92650715B70527335,Ziguinchor,ADM2
