asdf_id,map_pf_incidence_rate.2020.mean,map_pf_incidence_rate.2019.mean,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2017.mean,gpm_precipitation_v07b_yearly_mean.2020.mean,gpm_precipitation_v07b_yearly_mean.2019.mean,gpm_precipitation_v07b_yearly_mean.2018.mean,gpm_precipitation_v07b_yearly_mean.2017.mean,cru_ts_407_tmp_yearly_mean.2020.mean,cru_ts_407_tmp_yearly_mean.2019.mean,cru_ts_407_tmp_yearly_mean.2018.mean,cru_ts_407_tmp_yearly_mean.2017.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
10,0.20126770961972248,0.18113439823312036,0.1654729283846181,0.1255393759085342,125.569953231,143.099901179,136.330066613,118.779961287,21.9556083599,22.1361655745,21.9500538776,22.494493549,ADM2,10,10,BDI,BDI-ADM2-21766830B84334123,Mutambu,ADM2
11,0.22047683732235088,0.1997559933585701,0.1788405007754127,0.13577012558475762,122.276567538,138.319026894,138.414908311,118.76590704,21.0434225619,21.2350889743,21.0359227463,21.5559188294,ADM2,11,11,BDI,BDI-ADM2-21766830B30797693,Nyabiraba,ADM2
12,0.22822875902809164,0.19829696326688445,0.18499235807053227,0.14145368454406218,136.112186703,135.323501298,134.422589501,136.101491762,18.7479390478,18.9729391559,18.7349411629,19.2632691354,ADM2,12,12,BDI,BDI-ADM2-21766830B76409492,Bururi,ADM2
13,0.25503546950350314,0.22626160239249346,0.21746888498175065,0.17574659814464183,149.486653597,146.652019645,134.621597231,142.704242684,21.0583337148,21.2833339373,21.0333336194,21.5916671753,ADM2,13,13,BDI,BDI-ADM2-21766830B24798856,Vugizo,ADM2
14,0.24387568121098924,0.21370504806875243,0.2036625610315262,0.16048757664374316,145.208124443,145.43956353,135.356344404,142.208301101,20.6570778716,20.8820780743,20.63416225,21.1872846115,ADM2,14,14,BDI,BDI-ADM2-21766830B67742393,Vyanda,ADM2
15,NA,NA,NA,NA,121.141234611,136.441203443,135.141362252,114.464668026,18.5703483304,18.7715351486,18.5501085015,19.048915048,ADM2,15,15,BDI,BDI-ADM2-21766830B52931689,Rusaka,ADM2
16,0.2383610159158707,0.20966775715351105,0.188997283577919,0.1451416313648224,122.51405178,137.727123547,135.344056739,125.950219768,18.2666670359,18.4864039049,18.2583338297,18.7793861148,ADM2,16,16,BDI,BDI-ADM2-21766830B95561341,Mugamba,ADM2
17,0.23570309310258206,0.20589636929507885,0.1839502588086635,0.1371767439170489,132.681543481,133.816104131,134.071735107,134.040317547,17.8500003815,18.075000445,17.8416671753,18.3583334287,ADM2,17,17,BDI,BDI-ADM2-21766830B13513290,Songa,ADM2
18,0.23005577100507837,0.20925237220214754,0.1841432855936411,0.1404223265830124,121.856017724,134.159959957,139.312083398,116.823876953,18.9959560417,19.1942864587,18.9767882886,19.4759528775,ADM2,18,18,BDI,BDI-ADM2-21766830B74746434,Mugongoman,ADM2
19,NA,NA,NA,NA,119.167972074,134.702317489,133.221410776,117.32055502,18.0181306998,18.2375727153,18.0070184696,18.51951624,ADM2,19,19,BDI,BDI-ADM2-21766830B8666646,Gisozi,ADM2
